"id","title","body","department","sentiment"
"486","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"186","Reception standard","Servizio nella norma, niente di particolare da segnalare. Disorganizzazione totale.","Reception","neutral"
"34","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"78","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni. Rapporto qualità-prezzo ottimo.","Housekeeping","negative"
"1","Camera standard","Camera normale, pulita quanto basta, niente di particolare.","Housekeeping","neutral"
"12","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza. Non tornerò mai più.","Housekeeping","negative"
"416","Esperienza media","Cibo e servizio al ristorante nella media, prezzi ok. Prezzi eccessivi per la qualità offerta.","F&B","neutral"
"23","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza. Torneremo sicuramente.","Housekeeping","negative"
"73","Camera disordinata","Camera disordinata e sporca, lenzuola con macchie.","Housekeeping","negative"
"183","Check-out rapido","Check-out velocissimo senza problemi, personale efficiente.","Reception","positive"
"132","Camera luminosa","Stanza luminosa, pulita e accogliente. Ottimo servizio di pulizia. Torneremo sicuramente.","Housekeeping","positive"
"411","Cibo scadente","Cibo di pessima qualità, colazione immangiabile.","F&B","negative"
"194","Staff eccellente","Personale della reception molto professionale e gentile.","Reception","positive"
"56","Camera sporca","La camera non era pulita all'arrivo, polvere ovunque e bagno sporco.","Housekeeping","negative"
"149","Camera disordinata","Camera disordinata e sporca, lenzuola con macchie.","Housekeeping","negative"
"19","Camera standard","Camera normale, pulita quanto basta, niente di particolare.","Housekeeping","neutral"
"205","Check-in veloce","Check-in rapido ed efficiente, personale cordiale e disponibile. Tutto perfetto dall'inizio alla fine.","Reception","positive"
"79","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni. Torneremo sicuramente.","Housekeeping","negative"
"495","Soggiorno discreto","Colazione buona ma camera piccola e rumorosa, staff ok.","F&B","neutral"
"263","Accoglienza perfetta","Ottima accoglienza, ci hanno fatto sentire subito a nostro agio.","Reception","positive"
"324","Ottimo cibo","Cibo delizioso e servizio al tavolo impeccabile.","F&B","positive"
"484","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"80","Soggiorno nella norma","Stanza accettabile, pulizia sufficiente, nulla da segnalare.","Housekeeping","neutral"
"40","Nella media","Stanza nella media, pulizia discreta, esperienza ok. Non tornerò mai più.","Housekeeping","neutral"
"452","Bene ma non benissimo","Check-in veloce, però la stanza aveva dei problemi di pulizia.","Housekeeping","negative"
"47","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine.","Housekeeping","positive"
"239","Accoglienza fredda","Accoglienza molto fredda, nessuna assistenza dal personale. Servizio clienti eccezionale.","Reception","negative"
"392","Bar caro","Prezzi del bar esagerati, qualità molto bassa.","F&B","negative"
"353","Servizio lento","Servizio al ristorante lentissimo, cibo arrivato freddo.","F&B","negative"
"342","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto.","F&B","positive"
"278","Personale gentile","Reception sempre disponibile e cortese per qualsiasi richiesta.","Reception","positive"
"291","Check-in lento","Check-in lunghissimo, attesa di oltre 30 minuti alla reception.","Reception","negative"
"318","Ristorante ottimo","Ristorante dell'hotel eccellente, piatti buonissimi e ben presentati.","F&B","positive"
"305","Esperienza media","Cibo e servizio al ristorante nella media, prezzi ok.","F&B","neutral"
"269","Accoglienza fredda","Accoglienza molto fredda, nessuna assistenza dal personale.","Reception","negative"
"70","Niente di speciale","Camera standard, pulizia sufficiente, prezzo nella norma. Rapporto qualità-prezzo ottimo.","Housekeeping","neutral"
"456","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"466","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"155","Staff disponibile","Personale sempre pronto ad aiutare con il sorriso. Mai più in questo hotel.","Reception","positive"
"83","Camera sporca","La camera non era pulita all'arrivo, polvere ovunque e bagno sporco.","Housekeeping","negative"
"478","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"173","Check-in normale","Check-in senza problemi, tempi di attesa accettabili. Disorganizzazione totale.","Reception","neutral"
"322","Colazione fredda","Colazione sempre fredda, prodotti vecchi e poco freschi. Ottimo rapporto qualità prezzo.","F&B","negative"
"91","Camera ok","Camera pulita ma un po' vecchia, nel complesso accettabile. Esperienza da dimenticare.","Housekeeping","neutral"
"181","Staff disponibile","Personale sempre pronto ad aiutare con il sorriso.","Reception","positive"
"415","Cibo nella media","Ristorante con cibo ok, servizio sufficiente.","F&B","neutral"
"313","Cucina mediocre","Cucina mediocre, piatti senza sapore e mal presentati.","F&B","negative"
"279","Problemi prenotazione","Problemi con la prenotazione, reception non ha saputo risolvere.","Reception","negative"
"382","Cibo nella media","Ristorante con cibo ok, servizio sufficiente. Complimenti allo chef.","F&B","neutral"
"473","Nel complesso ok","Buona pulizia camera, colazione sufficiente, personale a volte scortese.","Housekeeping","neutral"
"363","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media. Ottimo rapporto qualità prezzo.","F&B","neutral"
"325","Cibo nella media","Ristorante con cibo ok, servizio sufficiente.","F&B","neutral"
"432","Cibo scadente","Cibo di pessima qualità, colazione immangiabile.","F&B","negative"
"348","Ristorante ottimo","Ristorante dell'hotel eccellente, piatti buonissimi e ben presentati.","F&B","positive"
"87","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine. Prezzo troppo alto per quello che offre.","Housekeeping","positive"
"76","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine. Esperienza da dimenticare.","Housekeeping","positive"
"439","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti. Complimenti allo chef.","F&B","positive"
"16","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza. Prezzo troppo alto per quello che offre.","Housekeeping","negative"
"250","Ottima organizzazione","Reception ben organizzata, nessun problema durante il soggiorno.","Reception","positive"
"434","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media.","F&B","neutral"
"20","Letto comodo","Il letto era comodissimo e la camera profumava di pulito. Esperienza da dimenticare.","Housekeeping","positive"
"323","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto.","F&B","positive"
"333","Colazione fantastica","Colazione abbondante e varia, prodotti freschi e di qualità.","F&B","positive"
"57","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni. Prezzo troppo alto per quello che offre.","Housekeeping","negative"
"302","Ristorante ottimo","Ristorante dell'hotel eccellente, piatti buonissimi e ben presentati.","F&B","positive"
"230","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"332","Ristorante ottimo","Ristorante dell'hotel eccellente, piatti buonissimi e ben presentati.","F&B","positive"
"133","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni.","Housekeeping","negative"
"138","Mancanza pulizia","Non hanno pulito la camera per tutto il soggiorno, inaccettabile.","Housekeeping","negative"
"424","Cibo scadente","Cibo di pessima qualità, colazione immangiabile.","F&B","negative"
"336","Cucina mediocre","Cucina mediocre, piatti senza sapore e mal presentati.","F&B","negative"
"26","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"465","Soggiorno discreto","Colazione buona ma camera piccola e rumorosa, staff ok.","F&B","neutral"
"282","Check-in normale","Check-in senza problemi, tempi di attesa accettabili.","Reception","neutral"
"248","Check-out rapido","Check-out velocissimo senza problemi, personale efficiente.","Reception","positive"
"238","Staff disponibile","Personale sempre pronto ad aiutare con il sorriso.","Reception","positive"
"118","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"43","Bagno sporco","Il bagno era sporco, presenza di capelli e macchie evidenti. Esperienza da dimenticare.","Housekeeping","negative"
"221","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"177","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"321","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti. Qualità eccellente dei prodotti.","F&B","positive"
"154","Servizio accettabile","Personale della reception cortese, check-in normale.","Reception","neutral"
"232","Reception standard","Servizio nella norma, niente di particolare da segnalare.","Reception","neutral"
"228","Servizio pessimo","Pessimo servizio, personale incompetente e maleducato.","Reception","negative"
"418","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto.","F&B","positive"
"204","Staff eccellente","Personale della reception molto professionale e gentile.","Reception","positive"
"127","Camera impeccabile","La camera era pulitissima, letto comodo e tutto perfettamente in ordine. Esperienza da dimenticare.","Housekeeping","positive"
"330","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose.","F&B","positive"
"32","Nella media","Stanza nella media, pulizia discreta, esperienza ok.","Housekeeping","neutral"
"114","Letto comodo","Il letto era comodissimo e la camera profumava di pulito.","Housekeeping","positive"
"471","Soggiorno discreto","Colazione buona ma camera piccola e rumorosa, staff ok.","F&B","neutral"
"272","Servizio accettabile","Personale della reception cortese, check-in normale. Personale molto professionale.","Reception","neutral"
"141","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni. Torneremo sicuramente.","Housekeeping","negative"
"58","Pulizia eccellente","Stanza sempre pulita e ordinata, cambio asciugamani ogni giorno. Torneremo sicuramente.","Housekeeping","positive"
"193","Personale gentile","Reception sempre disponibile e cortese per qualsiasi richiesta. Disorganizzazione totale.","Reception","positive"
"25","Camera luminosa","Stanza luminosa, pulita e accogliente. Ottimo servizio di pulizia. Torneremo sicuramente.","Housekeeping","positive"
"18","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"266","Staff inefficiente","Personale inefficiente, nessuna risposta alle nostre richieste.","Reception","negative"
"67","Camera degradata","Camera in pessime condizioni, sporcizia e odore sgradevole. Non tornerò mai più.","Housekeeping","negative"
"209","Staff disponibile","Personale sempre pronto ad aiutare con il sorriso. Tutto perfetto dall'inizio alla fine.","Reception","positive"
"480","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"95","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine.","Housekeeping","positive"
"254","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"267","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"24","Stanza trascurata","Camera molto trascurata, polvere e cattivi odori. Esperienza da dimenticare.","Housekeeping","negative"
"223","Servizio accettabile","Personale della reception cortese, check-in normale.","Reception","neutral"
"262","Problemi prenotazione","Problemi con la prenotazione, reception non ha saputo risolvere. Servizio decisamente migliorabile.","Reception","negative"
"427","Colazione monotona","Colazione monotona, sempre le stesse cose per giorni. Qualità eccellente dei prodotti.","F&B","negative"
"6","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza. Rapporto qualità-prezzo ottimo.","Housekeeping","negative"
"117","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"46","Camera disordinata","Camera disordinata e sporca, lenzuola con macchie.","Housekeeping","negative"
"17","Bagno sporco","Il bagno era sporco, presenza di capelli e macchie evidenti.","Housekeeping","negative"
"463","Esperienza mista","Camera pulita ma personale poco disponibile, colazione nella media.","Reception","negative"
"358","Colazione scarsa","Colazione molto scarsa, poca scelta e prodotti di bassa qualità.","F&B","negative"
"4","Pulizia eccellente","Stanza sempre pulita e ordinata, cambio asciugamani ogni giorno. Rapporto qualità-prezzo ottimo.","Housekeeping","positive"
"219","Personale scortese","Personale della reception poco cortese e disponibile. Mai più in questo hotel.","Reception","negative"
"406","Cibo nella media","Ristorante con cibo ok, servizio sufficiente.","F&B","neutral"
"61","Pulizia eccellente","Stanza sempre pulita e ordinata, cambio asciugamani ogni giorno. Rapporto qualità-prezzo ottimo.","Housekeeping","positive"
"111","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza.","Housekeeping","negative"
"319","Ristorante deludente","Ristorante molto deludente, cibo freddo e poco gustoso.","F&B","negative"
"429","Servizio ristorante","Servizio al ristorante veloce e professionale, cibo eccellente.","F&B","positive"
"30","Camera perfetta","Camera spaziosa, pulita e ben organizzata. Complimenti al personale.","Housekeeping","positive"
"438","Colazione scarsa","Colazione molto scarsa, poca scelta e prodotti di bassa qualità.","F&B","negative"
"472","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"27","Niente di speciale","Camera standard, pulizia sufficiente, prezzo nella norma.","Housekeeping","neutral"
"8","Pulizia giornaliera","Apprezzo molto la pulizia quotidiana della camera, tutto perfetto.","Housekeeping","positive"
"454","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"109","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile. Non tornerò mai più.","Housekeeping","positive"
"38","Letto comodo","Il letto era comodissimo e la camera profumava di pulito. Torneremo sicuramente.","Housekeeping","positive"
"158","Staff eccellente","Personale della reception molto professionale e gentile.","Reception","positive"
"490","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"119","Pulizia giornaliera","Apprezzo molto la pulizia quotidiana della camera, tutto perfetto.","Housekeeping","positive"
"115","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine.","Housekeeping","positive"
"176","Servizio pessimo","Pessimo servizio, personale incompetente e maleducato.","Reception","negative"
"374","Servizio lento","Servizio al ristorante lentissimo, cibo arrivato freddo. Complimenti allo chef.","F&B","negative"
"182","Check-in normale","Check-in senza problemi, tempi di attesa accettabili. Mai più in questo hotel.","Reception","neutral"
"145","Camera impeccabile","La camera era pulitissima, letto comodo e tutto perfettamente in ordine.","Housekeeping","positive"
"370","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose. Prezzi eccessivi per la qualità offerta.","F&B","positive"
"391","Esperienza media","Cibo e servizio al ristorante nella media, prezzi ok.","F&B","neutral"
"196","Esperienza standard","Reception funzionale, nessun problema particolare.","Reception","neutral"
"405","Colazione ok","Buffet colazione nella norma, varietà accettabile.","F&B","neutral"
"276","Accoglienza fredda","Accoglienza molto fredda, nessuna assistenza dal personale.","Reception","negative"
"455","Nel complesso ok","Buona pulizia camera, colazione sufficiente, personale a volte scortese.","Housekeeping","neutral"
"142","Camera perfetta","Camera spaziosa, pulita e ben organizzata. Complimenti al personale.","Housekeeping","positive"
"366","Ristorante deludente","Ristorante molto deludente, cibo freddo e poco gustoso.","F&B","negative"
"68","Camera impeccabile","La camera era pulitissima, letto comodo e tutto perfettamente in ordine.","Housekeeping","positive"
"211","Staff eccellente","Personale della reception molto professionale e gentile.","Reception","positive"
"169","Personale scortese","Personale della reception poco cortese e disponibile.","Reception","negative"
"494","Bene ma non benissimo","Check-in veloce, però la stanza aveva dei problemi di pulizia.","Housekeeping","negative"
"376","Ristorante normale","Cibo accettabile, niente di speciale ma nemmeno male.","F&B","neutral"
"401","Colazione fredda","Colazione sempre fredda, prodotti vecchi e poco freschi.","F&B","negative"
"273","Servizio impeccabile","Servizio clienti impeccabile, personale molto preparato.","Reception","positive"
"110","Pulizia giornaliera","Apprezzo molto la pulizia quotidiana della camera, tutto perfetto.","Housekeeping","positive"
"249","Reception standard","Servizio nella norma, niente di particolare da segnalare.","Reception","neutral"
"146","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza.","Housekeeping","negative"
"93","Camera perfetta","Camera spaziosa, pulita e ben organizzata. Complimenti al personale.","Housekeeping","positive"
"153","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"368","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose.","F&B","positive"
"468","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"84","Camera standard","Camera normale, pulita quanto basta, niente di particolare.","Housekeeping","neutral"
"246","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"166","Personale scortese","Personale della reception poco cortese e disponibile.","Reception","negative"
"164","Reception standard","Servizio nella norma, niente di particolare da segnalare.","Reception","neutral"
"200","Reception standard","Servizio nella norma, niente di particolare da segnalare.","Reception","neutral"
"229","Check-in normale","Check-in senza problemi, tempi di attesa accettabili. Tutto perfetto dall'inizio alla fine.","Reception","neutral"
"75","Niente di speciale","Camera standard, pulizia sufficiente, prezzo nella norma.","Housekeeping","neutral"
"479","Nel complesso ok","Buona pulizia camera, colazione sufficiente, personale a volte scortese.","Housekeeping","neutral"
"359","Cibo nella media","Ristorante con cibo ok, servizio sufficiente. Cibo immangiabile.","F&B","neutral"
"251","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"120","Mancanza pulizia","Non hanno pulito la camera per tutto il soggiorno, inaccettabile.","Housekeeping","negative"
"311","Servizio ristorante","Servizio al ristorante veloce e professionale, cibo eccellente.","F&B","positive"
"300","Staff inefficiente","Personale inefficiente, nessuna risposta alle nostre richieste.","Reception","negative"
"256","Accoglienza fredda","Accoglienza molto fredda, nessuna assistenza dal personale.","Reception","negative"
"355","Ristorante ottimo","Ristorante dell'hotel eccellente, piatti buonissimi e ben presentati.","F&B","positive"
"400","Colazione scarsa","Colazione molto scarsa, poca scelta e prodotti di bassa qualità.","F&B","negative"
"226","Check-in lento","Check-in lunghissimo, attesa di oltre 30 minuti alla reception.","Reception","negative"
"354","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto. Servizio da rivedere completamente.","F&B","positive"
"235","Servizio impeccabile","Servizio clienti impeccabile, personale molto preparato. Servizio decisamente migliorabile.","Reception","positive"
"383","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose.","F&B","positive"
"275","Servizio pessimo","Pessimo servizio, personale incompetente e maleducato. Tutto perfetto dall'inizio alla fine.","Reception","negative"
"37","Pulizia scarsa","Scarsa pulizia della stanza, asciugamani non cambiati per giorni.","Housekeeping","negative"
"197","Check-in normale","Check-in senza problemi, tempi di attesa accettabili.","Reception","neutral"
"140","Camera disordinata","Camera disordinata e sporca, lenzuola con macchie. Non tornerò mai più.","Housekeeping","negative"
"365","Cucina eccellente","Cucina di ottimo livello, piatti tipici preparati benissimo.","F&B","positive"
"245","Accoglienza perfetta","Ottima accoglienza, ci hanno fatto sentire subito a nostro agio.","Reception","positive"
"440","Colazione fantastica","Colazione abbondante e varia, prodotti freschi e di qualità.","F&B","positive"
"287","Servizio accettabile","Personale della reception cortese, check-in normale.","Reception","neutral"
"60","Letto comodo","Il letto era comodissimo e la camera profumava di pulito.","Housekeeping","positive"
"112","Nella media","Stanza nella media, pulizia discreta, esperienza ok.","Housekeeping","neutral"
"90","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine.","Housekeeping","positive"
"437","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto.","F&B","positive"
"7","Camera impeccabile","La camera era pulitissima, letto comodo e tutto perfettamente in ordine.","Housekeeping","positive"
"361","Ottimo cibo","Cibo delizioso e servizio al tavolo impeccabile.","F&B","positive"
"347","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media.","F&B","neutral"
"339","Esperienza media","Cibo e servizio al ristorante nella media, prezzi ok.","F&B","neutral"
"159","Check-in lento","Check-in lunghissimo, attesa di oltre 30 minuti alla reception.","Reception","negative"
"151","Staff nella media","Personale educato, servizio sufficiente.","Reception","neutral"
"178","Problemi prenotazione","Problemi con la prenotazione, reception non ha saputo risolvere.","Reception","negative"
"394","Cibo nella media","Ristorante con cibo ok, servizio sufficiente.","F&B","neutral"
"185","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"450","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media.","F&B","neutral"
"11","Camera degradata","Camera in pessime condizioni, sporcizia e odore sgradevole.","Housekeeping","negative"
"381","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti. Ottimo rapporto qualità prezzo.","F&B","positive"
"104","Camera luminosa","Stanza luminosa, pulita e accogliente. Ottimo servizio di pulizia.","Housekeeping","positive"
"82","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"39","Niente di speciale","Camera standard, pulizia sufficiente, prezzo nella norma.","Housekeeping","neutral"
"315","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti. Servizio da rivedere completamente.","F&B","positive"
"168","Staff inefficiente","Personale inefficiente, nessuna risposta alle nostre richieste.","Reception","negative"
"470","Bene ma non benissimo","Check-in veloce, però la stanza aveva dei problemi di pulizia.","Housekeeping","negative"
"297","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"475","Esperienza mista","Camera pulita ma personale poco disponibile, colazione nella media.","Reception","negative"
"199","Accoglienza perfetta","Ottima accoglienza, ci hanno fatto sentire subito a nostro agio. Personale molto professionale.","Reception","positive"
"298","Staff eccellente","Personale della reception molto professionale e gentile.","Reception","positive"
"417","Cibo nella media","Ristorante con cibo ok, servizio sufficiente. Cibo immangiabile.","F&B","neutral"
"147","Mancanza pulizia","Non hanno pulito la camera per tutto il soggiorno, inaccettabile.","Housekeeping","negative"
"393","Ristorante normale","Cibo accettabile, niente di speciale ma nemmeno male.","F&B","neutral"
"148","Letto scomodo","Letto scomodissimo e lenzuola sporche, pessima esperienza.","Housekeeping","negative"
"448","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose.","F&B","positive"
"288","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"124","Bagno sporco","Il bagno era sporco, presenza di capelli e macchie evidenti.","Housekeeping","negative"
"369","Cibo nella media","Ristorante con cibo ok, servizio sufficiente. Ottimo rapporto qualità prezzo.","F&B","neutral"
"97","Letto comodo","Il letto era comodissimo e la camera profumava di pulito.","Housekeeping","positive"
"144","Camera standard","Camera normale, pulita quanto basta, niente di particolare. Esperienza da dimenticare.","Housekeeping","neutral"
"240","Problemi prenotazione","Problemi con la prenotazione, reception non ha saputo risolvere.","Reception","negative"
"443","Ristorante normale","Cibo accettabile, niente di speciale ma nemmeno male.","F&B","neutral"
"98","Pulizia giornaliera","Apprezzo molto la pulizia quotidiana della camera, tutto perfetto.","Housekeeping","positive"
"408","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media.","F&B","neutral"
"123","Soggiorno nella norma","Stanza accettabile, pulizia sufficiente, nulla da segnalare.","Housekeeping","neutral"
"184","Personale gentile","Reception sempre disponibile e cortese per qualsiasi richiesta.","Reception","positive"
"203","Check-in veloce","Check-in rapido ed efficiente, personale cordiale e disponibile. Servizio decisamente migliorabile.","Reception","positive"
"247","Staff nella media","Personale educato, servizio sufficiente. Tutto perfetto dall'inizio alla fine.","Reception","neutral"
"306","Esperienza media","Cibo e servizio al ristorante nella media, prezzi ok. Complimenti allo chef.","F&B","neutral"
"299","Check-out rapido","Check-out velocissimo senza problemi, personale efficiente.","Reception","positive"
"352","Colazione ok","Buffet colazione nella norma, varietà accettabile.","F&B","neutral"
"387","Ottimo cibo","Cibo delizioso e servizio al tavolo impeccabile. Qualità eccellente dei prodotti.","F&B","positive"
"396","Servizio ristorante","Servizio al ristorante veloce e professionale, cibo eccellente. Cibo immangiabile.","F&B","positive"
